Timestamp,Do you have to import and export data from one piece of software to another?,Do you have to transform your data for further analysis? For example select a subset of total data.,"Do you have to perform statistical analysis? For example, linear regression or calculate p-values.",Do you create plots or figures from your data?,Do you have to create reports with the outputs of your analysis?,"In terms of difficulty for each task, do you find it? [Importing/Exporting data]","In terms of difficulty for each task, do you find it? [Transforming data]","In terms of difficulty for each task, do you find it? [Statistical analysis]","In terms of difficulty for each task, do you find it? [Plotting data]","In terms of difficulty for each task, do you find it? [Reporting data]","In terms of speed for each task, do you find it? [Importing/Exporting data]","In terms of speed for each task, do you find it? [Transforming data]","In terms of speed for each task, do you find it? [Statistical analysis]","In terms of speed for each task, do you find it? [Plotting data]","In terms of speed for each task, do you find it? [Reporting data]",What tools/software/programs do you use for your analysis?,"If there are any analysis tools that you use not listed above, please list them here.",How did you learn to do data analysis? You can choose more than one option.,What kind of data are you working with?,What position do you hold at the University?,Which Faculty are you a member of?
26/04/2019 15:13:05,No,No,Yes,Yes,Yes,Easy,Difficult,Difficult,Difficult,Difficult,Quick,Neutral,Neutral,Neutral,Neutral,"Excel, R / Rstudio",,"Learnt from those around me e.g. other students, post-doc, supervisor., Boot-camp course e.g. Grad school, Data Carpentry., Formal taught module or course e.g. Degree module, Masters in Data Science.","Tabular (the sort that comes in spreadsheets like Excel), Sounds",PhD student,Environment and Life Sciences
26/04/2019 15:15:52,Yes,Yes,Yes,Yes,Yes,Neutral,Neutral,Difficult,Neutral,Neutral,Quick,Neutral,Slow,Slow,Neutral,"Excel, Graphpad Prism, ImageJ",,Self-taught,"Tabular (the sort that comes in spreadsheets like Excel), Images",PhD student,Environment and Life Sciences
26/04/2019 15:46:18,Yes,Yes,Yes,Yes,Yes,Difficult,Difficult,Very Difficult,Difficult,Difficult,Slow,Slow,Very Slow,Very Slow,Slow,"Pen and paper, Excel, R / Rstudio",,"Formal taught module or course e.g. Degree module, Masters in Data Science., Taught module 3 or 4 years ago.",Tabular (the sort that comes in spreadsheets like Excel),Masters student,Environment and Life Sciences
26/04/2019 15:47:30,Yes,Yes,Yes,Yes,Yes,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,"Excel, Graphpad Prism, ImageJ",,"Self-taught, Learnt from those around me e.g. other students, post-doc, supervisor.","Images, animal behaviour",Post-doc,Environment and Life Sciences
26/04/2019 15:48:08,Yes,Yes,Yes,Yes,Yes,Easy,Neutral,Difficult,Difficult,Easy,Quick,Neutral,Slow,Slow,Quick,"Pen and paper, Excel, R / Rstudio, Graphpad Prism, ImageJ, Bash scripts, Other",SPSS,"Self-taught, Learnt from those around me e.g. other students, post-doc, supervisor., Formal taught module or course e.g. Degree module, Masters in Data Science.","Tabular (the sort that comes in spreadsheets like Excel), Images",Post-doc,Environment and Life Sciences
26/04/2019 16:36:32,Yes,Yes,Yes,Yes,Yes,Very Difficult,Very Difficult,Difficult,Easy,Neutral,Slow,Very Slow,Quick,Quick,Slow,"Excel, Graphpad Prism",,"Self-taught, Learnt from those around me e.g. other students, post-doc, supervisor., Formal taught module or course e.g. Degree module, Masters in Data Science.",Genomes and genomic data,PhD student,Environment and Life Sciences
29/04/2019 09:09:34,Yes,Yes,Yes,Yes,Yes,Easy,Difficult,Difficult,Difficult,Neutral,Quick,Slow,Neutral,Slow,Neutral,"Pen and paper, Excel, Python, R / Rstudio, Bash scripts",,"Learnt from those around me e.g. other students, post-doc, supervisor., Online training course e.g Coursera, Datacamp, EdX, Kahn Academy., Formal taught module or course e.g. Degree module, Masters in Data Science.","Tabular (the sort that comes in spreadsheets like Excel), Text (such as books or webpages)",PhD student,Environment and Life Sciences
30/04/2019 11:53:42,Yes,Yes,Yes,Yes,No,Neutral,Difficult,Neutral,Neutral,Neutral,Neutral,Slow,Neutral,Neutral,Neutral,"Excel, Graphpad Prism, ImageJ",,"Self-taught, Learnt from those around me e.g. other students, post-doc, supervisor.","Tabular (the sort that comes in spreadsheets like Excel), Images",Post-doc,Engineering and Physical Sciences
30/04/2019 14:44:39,Yes,Yes,Yes,Yes,Yes,Neutral,Difficult,Very Difficult,Very Difficult,Difficult,Quick,Slow,Very Slow,Very Slow,Very Slow,R / Rstudio,,"Self-taught, Formal taught module or course e.g. Degree module, Masters in Data Science.",Tabular (the sort that comes in spreadsheets like Excel),PhD student,Environment and Life Sciences
01/05/2019 11:25:56,Yes,Yes,Yes,Yes,Yes,Very easy,Very easy,Difficult,Difficult,Neutral,Quick,Quick,Slow,Slow,Slow,R / Rstudio,,"Self-taught, Learnt from those around me e.g. other students, post-doc, supervisor., Formal taught module or course e.g. Degree module, Masters in Data Science.",Tabular (the sort that comes in spreadsheets like Excel),PhD student,Environment and Life Sciences
01/05/2019 11:36:05,No,Yes,Yes,Yes,Yes,Neutral,Very Difficult,Difficult,Difficult,Very Difficult,Slow,Very Slow,Very Slow,Very Slow,Very Slow,"Excel, R / Rstudio, Graphpad Prism, ImageJ",,"Formal taught module or course e.g. Degree module, Masters in Data Science.","Tabular (the sort that comes in spreadsheets like Excel), Images",PhD student,Environment and Life Sciences
01/05/2019 11:54:14,Yes,Yes,Yes,Yes,Yes,Neutral,Difficult,Neutral,Easy,Easy,Neutral,Slow,Slow,Quick,Quick,"Excel, R / Rstudio, Graphpad Prism",Flow cytometry software,"Self-taught, Learnt from those around me e.g. other students, post-doc, supervisor., Online training course e.g Coursera, Datacamp, EdX, Kahn Academy.","Tabular (the sort that comes in spreadsheets like Excel), Images",Post-doc,Medicine
01/05/2019 13:38:35,Yes,Yes,Yes,Yes,Yes,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,"Excel, Graphpad Prism, ImageJ",,"Self-taught, Learnt from those around me e.g. other students, post-doc, supervisor.",Tabular (the sort that comes in spreadsheets like Excel),PhD student,Engineering and Physical Sciences
02/05/2019 11:56:52,Yes,Yes,Yes,Yes,Yes,Neutral,Difficult,Difficult,Difficult,Neutral,Slow,Very Slow,Very Slow,Very Slow,Slow,Excel,,Self-taught,Tabular (the sort that comes in spreadsheets like Excel),PhD student,Environment and Life Sciences
07/10/2019 11:19:28,Yes,Yes,Yes,Yes,Yes,Difficult,Very Difficult,Neutral,Difficult,Neutral,Slow,Very Slow,Slow,Very Slow,Slow,"R / Rstudio, Bash scripts, Other","Have some experience of other stats software: PAST, Minitab, SPSS","Self-taught, Learnt from those around me e.g. other students, post-doc, supervisor., Online training course e.g Coursera, Datacamp, EdX, Kahn Academy., Formal taught module or course e.g. Degree module, Masters in Data Science.",Tabular (the sort that comes in spreadsheets like Excel),PhD student,Environment and Life Sciences
07/10/2019 11:59:34,Yes,Yes,Yes,Yes,Yes,Easy,Neutral,Difficult,Difficult,Neutral,Quick,Neutral,Very Slow,Slow,Neutral,Excel,,"Self-taught, Learnt from those around me e.g. other students, post-doc, supervisor.","Tabular (the sort that comes in spreadsheets like Excel), Images",PhD student,Environment and Life Sciences
09/10/2019 14:28:58,Yes,Yes,Yes,Yes,Yes,Very easy,Easy,Easy,Easy,Easy,Very Quick,Quick,Quick,Quick,Quick,"Pen and paper, Excel, Graphpad Prism, ImageJ",,"Formal taught module or course e.g. Degree module, Masters in Data Science.","Tabular (the sort that comes in spreadsheets like Excel), Images",PhD student,Medicine
10/10/2019 09:31:26,Yes,Yes,Yes,Yes,Yes,Difficult,Difficult,Difficult,Easy,Neutral,Neutral,Neutral,Slow,Slow,Very Slow,"Pen and paper, Excel, Graphpad Prism, ImageJ",,"Self-taught, Learnt from those around me e.g. other students, post-doc, supervisor.","Tabular (the sort that comes in spreadsheets like Excel), Images",PhD student,Environment and Life Sciences