genus,plot_id,mean_weight
Baiomys,1,7
Baiomys,2,6
Baiomys,3,8.61111111111111
Baiomys,5,7.75
Baiomys,18,9.5
Baiomys,19,9.533333333333333
Baiomys,20,6
Baiomys,21,6.666666666666667
Chaetodipus,1,22.199386503067483
Chaetodipus,2,25.110144927536233
Chaetodipus,3,24.636363636363637
Chaetodipus,4,23.023809523809526
Chaetodipus,5,17.982758620689655
Chaetodipus,6,24.860091743119266
Chaetodipus,7,19.916030534351144
Chaetodipus,8,20.472843450479232
Chaetodipus,9,18.915966386554622
Chaetodipus,10,22.333333333333332
Chaetodipus,11,19.808823529411764
Chaetodipus,12,19.61637931034483
Chaetodipus,13,27.296511627906977
Chaetodipus,14,16.51851851851852
Chaetodipus,15,20.536231884057973
Chaetodipus,16,22.153846153846153
Chaetodipus,17,23.17816091954023
Chaetodipus,18,26.75581395348837
Chaetodipus,19,26.425925925925927
Chaetodipus,20,25.057471264367816
Chaetodipus,21,28.18354430379747
Chaetodipus,22,29.739583333333332
Chaetodipus,23,22.444444444444443
Chaetodipus,24,20.46153846153846
Dipodomys,1,60.232142857142854
Dipodomys,2,55.68258706467662
Dipodomys,3,52.046875
Dipodomys,4,57.52454212454212
Dipodomys,5,51.1135593220339
Dipodomys,6,58.605313092979124
Dipodomys,7,57.36363636363637
Dipodomys,8,59.41090317331164
Dipodomys,9,57.51791988756149
Dipodomys,10,51.833333333333336
Dipodomys,11,50.606516290726816
Dipodomys,12,50.482933914306464
Dipodomys,13,60.47430830039526
Dipodomys,14,48.860198624904505
Dipodomys,15,46.583333333333336
Dipodomys,16,45.81981981981982
Dipodomys,17,52.56867671691792
Dipodomys,18,61.396103896103895
Dipodomys,19,43.26923076923077
Dipodomys,20,65.93596059113301
Dipodomys,21,42.68571428571428
Dipodomys,22,70.38413098236776
Dipodomys,23,53.62068965517241
Dipodomys,24,45.74643874643875
Neotoma,1,156.22222222222223
Neotoma,2,169.14364640883977
Neotoma,3,158.24137931034483
Neotoma,4,164.16666666666666
Neotoma,5,190.03703703703704
Neotoma,6,179.93333333333334
Neotoma,7,170.22222222222223
Neotoma,8,133.85714285714286
Neotoma,9,161.8181818181818
Neotoma,10,190
Neotoma,11,153.25714285714287
Neotoma,12,169.01333333333332
Neotoma,13,153.72972972972974
Neotoma,14,139.08771929824562
Neotoma,15,164.27272727272728
Neotoma,16,117
Neotoma,17,145.94117647058823
Neotoma,18,148.625
Neotoma,19,120
Neotoma,20,155.34146341463415
Neotoma,21,137.76470588235293
Neotoma,22,136.86666666666667
Neotoma,23,117.5
Neotoma,24,165.72164948453607
Onychomys,1,27.67549668874172
Onychomys,2,26.873015873015873
Onychomys,3,26.03240740740741
Onychomys,4,28.09375
Onychomys,5,27.016949152542374
Onychomys,6,25.8994708994709
Onychomys,7,23.583333333333332
Onychomys,8,25.86577181208054
Onychomys,9,27.546666666666667
Onychomys,10,28.681818181818183
Onychomys,11,25.88622754491018
Onychomys,12,26.114173228346456
Onychomys,13,27.472972972972972
Onychomys,14,29.49142857142857
Onychomys,15,25.346534653465348
Onychomys,16,25.348837209302324
Onychomys,17,26.107843137254903
Onychomys,18,26.57983193277311
Onychomys,19,23.82894736842105
Onychomys,20,25.232558139534884
Onychomys,21,24.592105263157894
Onychomys,22,24.642105263157895
Onychomys,23,23.40909090909091
Onychomys,24,25.68
Perognathus,1,9.625
Perognathus,2,6.947368421052632
Perognathus,3,7.5078125
Perognathus,4,7.824427480916031
Perognathus,5,8.658536585365853
Perognathus,6,7.809523809523809
Perognathus,7,7
Perognathus,8,7.056603773584905
Perognathus,9,7.371428571428571
Perognathus,11,8.121212121212121
Perognathus,12,7.875
Perognathus,13,9.275510204081632
Perognathus,14,8.838709677419354
Perognathus,15,8.163120567375886
Perognathus,16,6.666666666666667
Perognathus,17,8.6
Perognathus,18,8.624161073825503
Perognathus,19,8.094202898550725
Perognathus,20,8.144144144144144
Perognathus,21,9.191616766467066
Perognathus,22,10.815384615384616
Perognathus,23,6.4
Perognathus,24,10.5
Peromyscus,1,22.22222222222222
Peromyscus,2,22.269662921348313
Peromyscus,3,21.37037037037037
Peromyscus,4,22.6
Peromyscus,5,21.23170731707317
Peromyscus,6,21.840425531914892
Peromyscus,7,22.21698113207547
Peromyscus,8,20.11764705882353
Peromyscus,9,21.65625
Peromyscus,10,21.059701492537314
Peromyscus,11,21.602941176470587
Peromyscus,12,20.984126984126984
Peromyscus,13,21.795454545454547
Peromyscus,14,21.025
Peromyscus,15,20.252032520325205
Peromyscus,16,20.587628865979383
Peromyscus,17,21
Peromyscus,18,21.370786516853933
Peromyscus,19,20.842391304347824
Peromyscus,20,21.138613861386137
Peromyscus,21,22.058823529411764
Peromyscus,22,21.346153846153847
Peromyscus,23,21.52212389380531
Peromyscus,24,21.821969696969695
Reithrodontomys,1,11.375
Reithrodontomys,2,10.680555555555555
Reithrodontomys,3,10.516587677725118
Reithrodontomys,4,10.263157894736842
Reithrodontomys,5,11.154545454545454
Reithrodontomys,6,10.670454545454545
Reithrodontomys,7,11.07569721115538
Reithrodontomys,8,9.692307692307692
Reithrodontomys,9,10.321428571428571
Reithrodontomys,10,10.87719298245614
Reithrodontomys,11,10.819444444444445
Reithrodontomys,12,10.673267326732674
Reithrodontomys,13,10.306666666666667
Reithrodontomys,14,9.911764705882353
Reithrodontomys,15,10.264957264957266
Reithrodontomys,16,10.828025477707007
Reithrodontomys,17,9.962025316455696
Reithrodontomys,18,11.05
Reithrodontomys,19,10.528205128205128
Reithrodontomys,20,10.712
Reithrodontomys,21,10.164102564102564
Reithrodontomys,22,9.285714285714286
Reithrodontomys,23,11.037234042553191
Reithrodontomys,24,10.639751552795031
Sigmodon,2,70.85714285714286
Sigmodon,3,65.6140350877193
Sigmodon,4,82
Sigmodon,5,82.66666666666667
Sigmodon,6,68.77777777777777
Sigmodon,9,56.5
Sigmodon,10,101
Sigmodon,11,64.05882352941177
Sigmodon,12,66.22222222222223
Sigmodon,13,74
Sigmodon,15,58
Sigmodon,17,69.13333333333334
Sigmodon,18,46.1
Sigmodon,19,67.86666666666666
Sigmodon,20,63
Sigmodon,21,71.10714285714286
Sigmodon,22,50
Sigmodon,23,199
Sigmodon,24,66.85714285714286
Spermophilus,14,130
Spermophilus,20,57
